no;year;countyreal;lpop;lemp;first.treat;treat
866;2003;8001;5.896760933;8.461469043;2007;1
841;2004;8001;5.896760933;8.336869637;2007;1
842;2005;8001;5.896760933;8.340217321;2007;1
819;2006;8001;5.896760933;8.378160983;2007;1
827;2007;8001;5.896760933;8.487352349;2007;1
937;2003;8019;2.232377198;4.997212274;2007;1
938;2004;8019;2.232377198;5.081404365;2007;1
939;2005;8019;2.232377198;4.787491743;2007;1
940;2006;8019;2.232377198;4.990432587;2007;1
941;2007;8019;2.232377198;5.036952602;2007;1
951;2003;8023;1.298282484;2.197224577;2007;1
952;2004;8023;1.298282484;2.302585093;2007;1
953;2005;8023;1.298282484;2.772588722;2007;1
954;2006;8023;1.298282484;1.945910149;2007;1
955;2007;8023;1.298282484;2.995732274;2007;1
1176;2003;8029;3.326258295;5.883322388;2007;1
1177;2004;8029;3.326258295;5.789960171;2007;1
1178;2005;8029;3.326258295;5.857933154;2007;1
1179;2006;8029;3.326258295;5.998936562;2007;1
1167;2007;8029;3.326258295;6.104793232;2007;1
1097;2003;8041;6.247905534;8.968650903;2007;1
976;2004;8041;6.247905534;8.915700819;2007;1
977;2005;8041;6.247905534;8.900957873;2007;1
978;2006;8041;6.247905534;8.902727664;2007;1
979;2007;8041;6.247905534;8.881002624;2007;1
1170;2003;8063;2.080815597;4.941642423;2007;1
1171;2004;8063;2.080815597;4.86753445;2007;1
1172;2005;8063;2.080815597;4.663439094;2007;1
1228;2006;8063;2.080815597;4.812184355;2007;1
1229;2007;8063;2.080815597;4.919980926;2007;1
1212;2003;8075;3.020619989;5.697093487;2007;1
1213;2004;8075;3.020619989;5.631211782;2007;1
1214;2005;8075;3.020619989;5.720311777;2007;1
1202;2006;8075;3.020619989;5.796057751;2007;1
1203;2007;8075;3.020619989;5.560681631;2007;1
1066;2003;8103;1.789423409;4.454347296;2007;1
1067;2004;8103;1.789423409;4.584967479;2007;1
1068;2005;8103;1.789423409;4.753590191;2007;1
1069;2006;8103;1.789423409;4.905274778;2007;1
1070;2007;8103;1.789423409;4.718498871;2007;1
909;2003;8117;3.159040891;6.378426184;2007;1
910;2004;8117;3.159040891;6.274762021;2007;1
911;2005;8117;3.159040891;6.284134161;2007;1
912;2006;8117;3.159040891;6.381816017;2007;1
913;2007;8117;3.159040891;6.431331082;2007;1
883;2003;8123;5.198143378;7.755338813;2007;1
884;2004;8123;5.198143378;7.687997166;2007;1
885;2005;8123;5.198143378;7.754052639;2007;1
886;2006;8123;5.198143378;7.789454566;2007;1
887;2007;8123;5.198143378;7.803026644;2007;1
1609;2003;12007;3.261475438;5.501258211;2006;1
1610;2004;12007;3.261475438;5.59471138;2006;1
